Year of Birth	Gender	Ethnicity	Child's First Name	Count	Rank
2016	FEMALE	BLACK NON HISPANIC	Ariana	23	30
2016	FEMALE	BLACK NON HISPANIC	Elizabeth	23	30
2016	FEMALE	BLACK NON HISPANIC	Trinity	22	31
2016	FEMALE	BLACK NON HISPANIC	Amaya	22	31
2016	FEMALE	BLACK NON HISPANIC	Genesis	22	31
2016	FEMALE	BLACK NON HISPANIC	Paris	22	31
2016	FEMALE	BLACK NON HISPANIC	Jordyn	22	31
2016	FEMALE	BLACK NON HISPANIC	Ariel	22	31
2016	FEMALE	BLACK NON HISPANIC	Gabriella	21	32
2016	FEMALE	BLACK NON HISPANIC	Kennedy	21	32
2016	FEMALE	BLACK NON HISPANIC	Talia	21	32
2016	FEMALE	BLACK NON HISPANIC	Mariah	21	32
2016	FEMALE	BLACK NON HISPANIC	Imani	21	32
2016	FEMALE	BLACK NON HISPANIC	Jayla	20	33
2016	FEMALE	BLACK NON HISPANIC	Kaylee	20	33
2016	FEMALE	BLACK NON HISPANIC	Dakota	20	33
2016	FEMALE	BLACK NON HISPANIC	Destiny	20	33
2016	FEMALE	BLACK NON HISPANIC	Alyssa	20	33
2016	FEMALE	BLACK NON HISPANIC	Kimora	20	33
2016	FEMALE	BLACK NON HISPANIC	Maya	20	33
2016	FEMALE	BLACK NON HISPANIC	Sydney	20	33
2016	FEMALE	BLACK NON HISPANIC	Charlotte	19	34
2016	FEMALE	BLACK NON HISPANIC	Leilani	19	34
2016	FEMALE	BLACK NON HISPANIC	Michelle	19	34
2016	FEMALE	BLACK NON HISPANIC	Aliyah	18	35
2016	FEMALE	BLACK NON HISPANIC	Aniyah	18	35
2016	FEMALE	BLACK NON HISPANIC	Tori	18	35
2016	FEMALE	BLACK NON HISPANIC	Aubrey	18	35
2016	FEMALE	BLACK NON HISPANIC	Avery	18	35
2016	FEMALE	BLACK NON HISPANIC	Lyric	18	35
2016	FEMALE	BLACK NON HISPANIC	Arielle	17	36
2016	FEMALE	BLACK NON HISPANIC	Eliana	17	36
2016	FEMALE	BLACK NON HISPANIC	Mya	17	36
2016	FEMALE	BLACK NON HISPANIC	Kiara	17	36
2016	FEMALE	BLACK NON HISPANIC	Egypt	17	36
2016	FEMALE	BLACK NON HISPANIC	Hannah	17	36
2016	FEMALE	BLACK NON HISPANIC	Journee	16	37
2016	FEMALE	BLACK NON HISPANIC	Anaya	16	37
2016	FEMALE	BLACK NON HISPANIC	Skyla	16	37
2016	FEMALE	BLACK NON HISPANIC	Janelle	16	37
2016	FEMALE	BLACK NON HISPANIC	Harmony	16	37
2016	FEMALE	BLACK NON HISPANIC	Isabelle	16	37
2016	FEMALE	BLACK NON HISPANIC	Alani	15	38
2016	FEMALE	BLACK NON HISPANIC	Brianna	15	38
2016	FEMALE	BLACK NON HISPANIC	Zariah	15	38
2016	FEMALE	BLACK NON HISPANIC	Maliyah	15	38
2016	FEMALE	BLACK NON HISPANIC	Jade	15	38
2016	FEMALE	BLACK NON HISPANIC	Amira	15	38
2016	FEMALE	BLACK NON HISPANIC	Sage	15	38
2016	FEMALE	BLACK NON HISPANIC	Kali	14	39
2016	FEMALE	BLACK NON HISPANIC	Brooke	14	39
2016	FEMALE	BLACK NON HISPANIC	Zara	14	39
2016	FEMALE	BLACK NON HISPANIC	Nala	14	39
2016	FEMALE	BLACK NON HISPANIC	Londyn	14	39
2016	FEMALE	BLACK NON HISPANIC	Amirah	14	39
2016	FEMALE	BLACK NON HISPANIC	McKenzie	14	39
2016	FEMALE	BLACK NON HISPANIC	Sarai	14	39
2016	FEMALE	BLACK NON HISPANIC	Nova	14	39
2016	FEMALE	BLACK NON HISPANIC	Gianna	13	40
2016	FEMALE	BLACK NON HISPANIC	Eva	13	40
2016	FEMALE	BLACK NON HISPANIC	Joy	13	40
2016	FEMALE	BLACK NON HISPANIC	Danielle	13	40
2016	FEMALE	BLACK NON HISPANIC	Mackenzie	13	40
2016	FEMALE	BLACK NON HISPANIC	Christina	13	40
2016	FEMALE	BLACK NON HISPANIC	Alexis	13	40
2016	FEMALE	BLACK NON HISPANIC	Addison	13	40
2016	FEMALE	BLACK NON HISPANIC	Harper	12	41
2016	FEMALE	BLACK NON HISPANIC	Bintou	12	41
2016	FEMALE	BLACK NON HISPANIC	Marley	12	41
2016	FEMALE	BLACK NON HISPANIC	Janiyah	12	41
2016	FEMALE	BLACK NON HISPANIC	Tianna	12	41
2016	FEMALE	BLACK NON HISPANIC	Journey	12	41
2016	FEMALE	BLACK NON HISPANIC	Milani	12	41
2016	FEMALE	BLACK NON HISPANIC	Oumou	12	41
2016	FEMALE	BLACK NON HISPANIC	Amara	12	41
2016	FEMALE	BLACK NON HISPANIC	Eden	12	41
2016	FEMALE	BLACK NON HISPANIC	Sasha	12	41
2016	FEMALE	BLACK NON HISPANIC	Jada	12	41
2016	FEMALE	BLACK NON HISPANIC	Cali	12	41
2016	FEMALE	BLACK NON HISPANIC	Ella	12	41
2016	FEMALE	BLACK NON HISPANIC	Princess	11	42
2016	FEMALE	BLACK NON HISPANIC	Melanie	11	42
2016	FEMALE	BLACK NON HISPANIC	Kaliyah	11	42
2016	FEMALE	BLACK NON HISPANIC	Nalani	11	42
2016	FEMALE	BLACK NON HISPANIC	Mckenzie	11	42
2016	FEMALE	BLACK NON HISPANIC	Aicha	11	42
2016	FEMALE	BLACK NON HISPANIC	Aissatou	11	42
2016	FEMALE	BLACK NON HISPANIC	Malaysia	11	42
2016	FEMALE	BLACK NON HISPANIC	Audrey	11	42
2016	FEMALE	BLACK NON HISPANIC	Tamia	11	42
2016	FEMALE	BLACK NON HISPANIC	Reign	11	42
2016	FEMALE	BLACK NON HISPANIC	Rylee	11	42
2016	FEMALE	BLACK NON HISPANIC	Khadija	10	43
2016	FEMALE	BLACK NON HISPANIC	Mila	10	43
2016	FEMALE	BLACK NON HISPANIC	Maimouna	10	43
2016	FEMALE	BLACK NON HISPANIC	Zahra	10	43
2016	FEMALE	BLACK NON HISPANIC	Skye	10	43
2016	FEMALE	BLACK NON HISPANIC	Tiana	10	43
2016	FEMALE	BLACK NON HISPANIC	Hope	10	43
2016	FEMALE	BLACK NON HISPANIC	Violet	10	43
2016	FEMALE	BLACK NON HISPANIC	Blessing	10	43
2016	FEMALE	BLACK NON HISPANIC	Ashley	10	43
2016	FEMALE	BLACK NON HISPANIC	Saniyah	10	43
2016	FEMALE	BLACK NON HISPANIC	Annabelle	10	43
2016	FEMALE	BLACK NON HISPANIC	Kori	10	43
2016	FEMALE	BLACK NON HISPANIC	Sanai	10	43
2016	FEMALE	BLACK NON HISPANIC	Jaliyah	10	43
2016	FEMALE	BLACK NON HISPANIC	Leila	10	43
2016	FEMALE	BLACK NON HISPANIC	Fanta	10	43
2016	FEMALE	BLACK NON HISPANIC	Sanaa	10	43
2016	FEMALE	BLACK NON HISPANIC	Mikayla	10	43
2016	FEMALE	BLACK NON HISPANIC	Milan	10	43
2016	FEMALE	HISPANIC	Isabella	276	1
2016	FEMALE	HISPANIC	Sophia	261	2
2016	FEMALE	HISPANIC	Mia	228	3
2016	FEMALE	HISPANIC	Emma	197	4
2016	FEMALE	HISPANIC	Camila	180	5
2016	FEMALE	HISPANIC	Sofia	179	6
2016	FEMALE	HISPANIC	Emily	124	7
2016	FEMALE	HISPANIC	Valentina	119	8
2016	FEMALE	HISPANIC	Abigail	117	9
2016	FEMALE	HISPANIC	Victoria	116	10
2016	FEMALE	HISPANIC	Leah	116	10
2016	FEMALE	HISPANIC	Madison	115	11
2016	FEMALE	HISPANIC	Ava	110	12
2016	FEMALE	HISPANIC	Olivia	108	13
2016	FEMALE	HISPANIC	Ashley	100	14
2016	FEMALE	HISPANIC	Allison	97	15
2016	FEMALE	HISPANIC	Scarlett	94	16
2016	FEMALE	HISPANIC	Genesis	93	17
2016	FEMALE	HISPANIC	Melanie	87	18
2016	FEMALE	HISPANIC	Brianna	86	19
2016	FEMALE	HISPANIC	Alexa	85	20
2016	FEMALE	HISPANIC	Zoe	83	21
2016	FEMALE	HISPANIC	Hailey	81	22
2016	FEMALE	HISPANIC	Kimberly	81	22
2016	FEMALE	HISPANIC	Samantha	79	23
2016	FEMALE	HISPANIC	Chloe	75	24
2016	FEMALE	HISPANIC	Ariana	73	25
2016	FEMALE	HISPANIC	Arianna	69	26
2016	FEMALE	HISPANIC	Penelope	68	27
2016	FEMALE	HISPANIC	Amelia	66	28
2016	FEMALE	HISPANIC	Alaia	66	28
2016	FEMALE	HISPANIC	Kaylee	64	29
2016	FEMALE	HISPANIC	Valerie	61	30
2016	FEMALE	HISPANIC	Maria	60	31
2016	FEMALE	HISPANIC	Gabriella	58	32
2016	FEMALE	HISPANIC	Layla	57	33
